time,side,sz
1677420900000,get_signal,short
1677515580000,get_signal,long
1677586980000,get_signal,short
1677618600000,get_signal,long
1677646140000,get_signal,short
1677737580000,get_signal,long
1677796260000,get_signal,short
1677806400000,get_signal,long
1677891240000,get_signal,short
1677945840000,get_signal,long
1677978540000,get_signal,short
1677983700000,get_signal,long
1678050840000,get_signal,short
1678052520000,get_signal,long
1678065900000,get_signal,short
1678066320000,get_signal,long
